,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,CaseNumber,IUCR,Primary Type,Arrest,Domestic,Beat,District,FBI Code,Year,Crime_Date,Crime_Time,Month,Day,DayOT,Crime_Date_Day,Crime_month,CrimeType,Date,code_Crime_Time,code_Date,code_Primary,Labels
409349,409349,409349,409349,HW103237,2017,2017,1,0,1511,15,18,2013,2013-01-03,14:05:00,January,Thursday,Afternoon,3,1,group5,3/1,2101,264,244,0
1193531,1193531,1193531,1193531,HY554777,0486,0486,0,1,212,2,08B,2015,2015-12-30,10:45:00,December,Wednesday,Morning,30,12,group2,30/12,1077,279,51,2
1306477,1306477,1306477,1306477,HZ335606,0530,0530,1,0,1912,19,04A,2016,2016-07-04,23:00:00,July,Monday,Evening,4,7,group2,4/7,4485,303,62,1
771206,771206,771206,771206,HX205305,1152,1152,0,0,231,2,11,2014,2014-03-30,12:00:00,March,Sunday,Afternoon,30,3,group5,30/3,1493,280,126,0
1409761,1409761,1409761,1409761,HZ512283,0320,0320,0,0,1511,15,03,2016,2016-11-12,07:00:00,November,Saturday,Morning,12,11,group2,12/11,528,38,20,2
822000,822000,822000,822000,HX291287,1365,1365,1,0,714,7,26,2014,2014-06-05,16:07:00,June,Thursday,Afternoon,5,6,group1,5/6,2713,314,159,0
1409980,1409980,1409980,1409980,HZ512944,0860,0860,0,0,2431,24,06,2016,2016-11-12,17:25:00,November,Saturday,Afternoon,12,11,group1,12/11,3104,38,91,1
1451407,1451407,1451407,1451407,JA119309,0890,0890,0,0,1213,12,06,2016,2016-12-20,19:17:00,December,Tuesday,Evening,20,12,group1,20/12,3694,147,95,1
987392,987392,987392,987392,HY193775,0470,0470,1,0,1733,17,24,2015,2015-03-21,02:15:00,March,Saturday,Night,21,3,group5,21/3,185,161,42,2
592196,592196,592196,592196,HW395993,1811,1811,1,0,713,7,18,2013,2013-08-06,15:30:00,August,Tuesday,Afternoon,6,8,group5,6/8,2519,328,229,0
